City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Clyde River,CA,70.4692,-68.5914,-36.17,61,0,4.61,haze
220,Jalu,LY,29.0331,21.5482,65.12,23,4,3.06,clear sky
221,Inuvik,CA,68.3499,-133.7218,-14.49,98,100,9.98,light snow
222,San Andres,CO,12.5847,-81.7006,84.22,58,20,11.5,few clouds
223,Taian,CN,36.1853,117.12,33.12,34,85,2.21,overcast clouds
224,Nedumangad,IN,8.6,77.0,81.68,74,20,4.61,haze
225,Urumqi,CN,43.801,87.6005,-1.25,85,5,2.24,mist
226,Lompoc,US,34.6391,-120.4579,62.78,75,0,6.91,clear sky
227,Colotlan,MX,22.1,-103.2667,61.36,48,11,4.25,few clouds
228,Narsaq,GL,60.9167,-46.05,7.02,56,100,2.48,overcast clouds
229,Sao Jose De Ribamar,BR,-2.5619,-44.0542,84.58,82,50,12.44,moderate rain
230,Bure,ET,10.7,37.0667,66.76,45,51,7.63,broken clouds
231,Hofn,IS,64.2539,-15.2082,32.02,47,0,17.27,clear sky
232,Liepaja,LV,56.5419,21.0367,39.25,87,100,14.97,overcast clouds
233,Stokmarknes,NO,68.5646,14.9108,33.78,60,75,6.91,broken clouds
234,Rundu,NA,-17.9333,19.7667,74.75,73,81,3.33,broken clouds
235,Maldonado,UY,-34.6667,-54.9167,66.22,47,55,18.54,broken clouds
236,Talara,PE,-4.5772,-81.2719,83.16,51,0,18.41,clear sky
237,Castro,BR,-24.7911,-50.0119,76.26,71,81,8.14,broken clouds
238,Tabas,IR,33.5959,56.9244,51.91,33,22,7.29,few clouds
239,San Pedro,PH,14.35,121.0167,78.35,81,84,13.71,broken clouds
240,Nehoiu,RO,45.4167,26.3,35.62,69,100,3.53,overcast clouds
241,Henties Bay,NA,-22.116,14.2845,71.85,79,79,8.37,broken clouds
242,Poya,NC,-21.35,165.15,77.25,90,100,3.71,overcast clouds
243,La Rioja,ES,42.25,-2.5,54.05,48,100,3.62,overcast clouds
244,Kismayo,SO,-0.3582,42.5454,78.44,81,44,16.08,scattered clouds
245,Quatre Cocos,MU,-20.2078,57.7625,79.09,82,61,11.54,broken clouds
246,Vanavara,RU,60.34,102.2797,-10.61,100,73,2.84,broken clouds
247,Havelock,US,34.8791,-76.9013,44.94,73,94,4.0,overcast clouds
248,Miles City,US,46.4083,-105.8406,36.57,69,0,6.91,clear sky
249,Tura,IN,25.5198,90.2201,53.76,78,27,3.2,scattered clouds
250,Dengzhou,CN,37.8086,120.7508,31.1,55,55,7.18,broken clouds
251,Elko,US,41.0002,-115.5012,19.22,64,5,5.03,clear sky
252,Tokur,RU,53.1333,132.9,-23.3,98,97,2.1,overcast clouds
253,Lopatino,RU,52.6195,45.8118,-1.48,100,51,3.44,broken clouds
254,Olga,RU,43.7444,135.2892,9.84,61,2,11.18,clear sky
255,Naryan-Mar,RU,67.6713,53.087,8.62,84,81,16.42,broken clouds
256,Vostok,RU,46.4856,135.8833,-12.12,99,80,4.43,broken clouds
257,Camacupa,AO,-12.0167,17.4833,70.93,60,87,5.73,overcast clouds
258,Verkhoyansk,RU,67.5447,133.385,-35.09,98,100,0.94,overcast clouds
259,Cidreira,BR,-30.1811,-50.2056,80.67,54,23,12.39,few clouds
260,Fortuna,US,40.5982,-124.1573,38.32,93,0,8.05,clear sky
261,Mayo,US,38.8876,-76.5119,33.19,44,0,1.99,clear sky
262,Farafangana,MG,-22.8167,47.8333,78.64,92,100,19.48,moderate rain
263,Ionia,US,42.9873,-85.0711,26.82,70,75,11.5,broken clouds
264,Hvolsvollur,IS,63.7533,-20.2243,30.87,80,29,7.45,scattered clouds
265,Srednekolymsk,RU,67.45,153.6833,-37.01,100,60,0.94,broken clouds
266,Lesosibirsk,RU,58.2358,92.4828,12.92,97,100,2.91,overcast clouds
267,Alofi,NU,-19.0595,-169.9187,79.52,72,100,4.03,light rain
268,Yook,PH,13.2261,121.964,76.39,88,46,7.96,scattered clouds
269,Menongue,AO,-14.6585,17.691,66.52,80,100,6.17,overcast clouds
270,Yaan,NG,7.3833,8.5667,97.05,9,49,3.89,scattered clouds
271,Saint-Pierre,RE,-21.3393,55.4781,80.28,78,0,3.44,clear sky
272,Port Lincoln,AU,-34.7333,135.8667,70.23,71,1,12.39,clear sky
273,Bambous Virieux,MU,-20.3428,57.7575,79.21,82,50,12.3,scattered clouds
274,Providencia,MX,28.7167,-111.5833,55.85,57,2,5.99,clear sky
275,Marathon,US,44.9,-89.7668,24.04,80,100,3.44,overcast clouds
276,Kanniyakumari,IN,8.0833,77.5667,79.45,75,59,8.12,broken clouds
277,Sabang,ID,5.8933,95.3214,80.35,81,100,15.55,moderate rain
278,Buzmeyin,TM,38.0507,58.2056,40.59,64,71,6.04,broken clouds
279,Sterlibashevo,RU,53.4376,55.2578,14.49,94,99,1.79,overcast clouds
280,Codrington,AU,-38.2667,141.9667,61.72,69,0,11.72,clear sky
281,Zaoyang,CN,32.1272,112.7542,32.34,97,100,9.1,light snow
282,Gazanjyk,TM,39.2446,55.5154,41.45,61,40,5.44,scattered clouds
283,Kalmunai,LK,7.4167,81.8167,77.25,77,98,9.13,overcast clouds
284,Ramos Arizpe,MX,25.55,-100.9667,60.84,45,17,1.86,few clouds
285,Roald,NO,62.5833,6.1333,39.34,65,75,14.97,broken clouds
286,Rassvet,RU,46.8333,40.75,30.79,98,100,15.66,overcast clouds
287,Dauphin,CA,51.1494,-100.0502,-7.13,96,100,3.85,overcast clouds
288,Shimoda,JP,34.6667,138.95,35.1,73,71,7.7,broken clouds
289,Ostrovnoy,RU,68.0531,39.5131,15.49,84,100,22.19,overcast clouds
290,Yuancheng,CN,36.652,107.7896,18.3,96,96,1.9,overcast clouds
291,Sept-Iles,CA,50.2001,-66.3821,3.06,49,9,4.0,clear sky
292,Dakoro,NE,14.5106,6.765,84.2,8,0,13.71,clear sky
293,Bardiyah,LY,31.7561,25.0865,61.57,51,0,9.37,clear sky
294,Sistranda,NO,63.7256,8.834,38.89,64,100,32.82,light snow
295,Isla Mujeres,MX,21.2311,-86.731,75.25,82,68,13.65,broken clouds
296,Rincon,US,32.296,-81.2354,42.85,82,100,1.01,overcast clouds
297,Araouane,ML,18.9048,-3.5265,82.35,6,0,6.24,clear sky
298,Lagoa,PT,39.05,-27.9833,60.39,80,0,9.95,clear sky
299,Sinnamary,GF,5.3833,-52.95,82.26,74,89,8.77,overcast clouds
300,San Eugenio,PH,16.3598,120.357,76.78,73,23,4.36,few clouds
301,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,78,1,17.27,clear sky
302,Touros,BR,-5.1989,-35.4608,90.5,52,17,12.66,few clouds
303,Margate,GB,51.3813,1.3862,52.88,64,78,35.7,broken clouds
304,San Antonio,US,29.4241,-98.4936,48.38,62,0,0.0,clear sky
305,Vilyuysk,RU,63.7553,121.6247,-15.86,98,91,6.29,overcast clouds
306,Longyan,CN,25.1072,117.0225,50.92,96,100,3.0,light rain
307,Alyangula,AU,-13.8483,136.4192,79.92,80,100,8.81,overcast clouds
308,Otavi,NA,-19.65,17.3333,71.08,75,99,3.56,light rain
309,Havoysund,NO,70.9963,24.6622,30.43,74,35,28.77,scattered clouds
310,Ilulissat,GL,69.2167,-51.1,-0.38,50,100,4.61,overcast clouds
311,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,19.15,84,100,11.36,overcast clouds
312,Malindi,KE,-3.2175,40.1191,78.76,87,100,15.43,overcast clouds
313,Banda Aceh,ID,5.5577,95.3222,77.76,87,100,9.95,light rain
314,Nizwa,OM,22.9333,57.5333,71.67,43,1,5.32,clear sky
315,Honiara,SB,-9.4333,159.95,78.91,89,99,0.94,overcast clouds
316,Lavrentiya,RU,65.5833,-171.0,-12.39,91,5,6.78,clear sky
317,Bahia Honda,CU,22.9036,-83.1592,77.74,56,5,9.31,clear sky
318,Camacha,PT,33.0833,-16.3333,61.54,67,75,16.11,broken clouds
319,Washington,US,47.5001,-120.5015,37.92,90,100,1.45,overcast clouds
320,Ongandjera,NA,-17.8833,15.0667,81.18,41,99,3.0,overcast clouds
321,Thompson,CA,55.7435,-97.8558,-18.18,96,20,2.93,few clouds
322,Kaitangata,NZ,-46.2817,169.8464,44.92,80,2,2.75,clear sky
323,Pirogovo,RU,56.7796,53.1495,19.65,88,100,4.23,overcast clouds
324,Saint George,US,37.1041,-113.5841,45.36,32,0,6.91,clear sky
325,Morondava,MG,-20.2833,44.2833,80.47,83,100,21.18,moderate rain
326,Digapahandi,IN,19.3667,84.5833,65.14,69,43,3.69,scattered clouds
327,Brumadinho,BR,-20.1433,-44.1997,78.08,89,100,3.49,overcast clouds
